ticker,name,current_price,day_change_pct,week_change_pct,avg_volume,market_cap,ev_to_ebitda,price_to_book,debt_to_equity,current_ratio,total_cash,total_debt,free_cash_flow,operating_cashflow,book_value,gross_margin,operating_margin,revenue_growth,earnings_growth,return_12m,return_6m,shares_change_pct,piotroski_score,insider_pct,insider_net_buy_6m,insider_buy_count,insider_sell_count,insider_signal,sc_insider,sc_fcf,sc_piotroski,sc_growth,sc_balance,sc_valuation,sc_momentum,sc_liquidity,sc_composite,sc_bonus,sc_penalty,sc_total,sc_rank,sc_stars,sector_signal,sector_adjustment,sector
MAGI.ST,MAG Interactive AB (publ),7.6,-0.005235602094240842,-0.005235597192677299,48850,201359360,-26.115,0.6771808,10.892,3.325,84308000.0,32388000.0,7102500.0,54683000.0,11.223,0.56942004,0.01926,-0.006,,-0.0355330210332383,-0.1284404045985037,,6,0.57289004,0,0,0,N/A,57.71929824561404,68.42105263157895,70.0,45.96491228070175,69.03508771929825,87.71929824561403,50.877192982456144,29.82456140350877,62.692982456140356,11.0,0.0,83.69298245614036,1,★★★★,STARK UPPTREND,10,Övrigt
TAGM-B.ST,TagMaster AB (publ),41.5,0.007281553398058183,0.11559137496965932,22090,607872320,9.249,2.1994913,34.013,1.59,69373000.0,94000000.0,57499124.0,80135000.0,18.868,0.69871,0.06098,0.106,,2.772727272727273,1.6602563452046626,,7,0.69316,0,0,0,N/A,60.526315789473685,85.96491228070175,85.0,67.01754385964912,42.01754385964912,35.08771929824561,98.24561403508771,63.1578947368421,67.3640350877193,6.0,0.0,73.3640350877193,2,★★★★,NEUTRAL,0,Industri & Verkstad
CTM.ST,Catena Media plc,2.41,-0.0020703933747411567,-0.0061855120744510605,204232,182316832,8.227,2.369715,,4.468,13654000.0,0.0,18860624.0,8880000.0,1.017,0.38551998,0.99894994,0.258,,0.18137261318454767,0.3585118487915544,,7,0.26545,0,0,0,N/A,38.771929824561404,89.47368421052632,85.0,74.3859649122807,46.75438596491228,47.368421052631575,80.7017543859649,38.59649122807017,64.20263157894736,8.0,0.0,82.20263157894736,3,★★★★,STARK UPPTREND,10,Mjukvara & SaaS
CANTA.ST,Cantargia AB (publ),2.15,-0.01376146788990837,-0.2626885538637138,1794724,534515072,2.832,2.2848036,,8.09,258034000.0,0.0,90059248.0,158088992.0,0.941,1.0,-72.61811,,,0.31257636162770885,-0.33333328404783746,,5,0.16965,0,0,0,N/A,33.859649122807014,98.24561403508771,55.0,51.22807017543859,52.28070175438596,66.66666666666666,68.42105263157895,94.73684210526315,61.89210526315789,8.0,0.0,69.89210526315789,4,★★★★,NEUTRAL,0,MedTech & Life Science
MEKKO.HE,Marimekko Oyj,10.64,0.019157088122605467,0.011406832731696515,47282,430721888,12.284,5.6355934,39.922,3.103,32700000.0,30900000.0,29512500.0,37500000.0,1.888,0.60763,0.12319,0.045,0.229,-0.0752103620280894,-0.12763941127803846,,7,0.25234,0,0,0,N/A,38.07017543859649,78.94736842105263,85.0,79.29824561403507,57.63157894736842,22.807017543859647,47.368421052631575,40.35087719298245,58.47631578947369,11.0,0.0,79.47631578947369,5,★★★★,STARK UPPTREND,10,Övrigt
ALCA.ST,Alcadon Group AB (publ),32.2,-0.024242424242424156,-0.04166660043928061,37939,789255040,11.172,1.000435,45.925,1.656,83000000.0,362300000.0,162475008.0,143900000.0,32.186,0.27234,0.05268,-0.104,0.309,0.7888889312744141,0.44394627195439607,,7,0.38303003,0,0,0,N/A,44.3859649122807,98.24561403508771,85.0,48.421052631578945,41.666666666666664,26.31578947368421,94.73684210526315,75.43859649122807,63.20964912280702,3.0,0.0,76.20964912280702,6,★★★★,STARK UPPTREND,10,Mjukvara & SaaS
OGUN-B.ST,Ogunsen AB (publ),27.5,-0.007220216606498169,-0.02826852503984878,10831,295853248,13.501,4.6125464,10.731,1.755,36296000.0,6883000.0,24965000.0,28975000.0,5.962,0.14394,0.05274,0.007,0.756,0.049668877065022654,-0.0011801214482484168,,7,0.22045,0,0,0,N/A,35.96491228070175,84.21052631578947,85.0,74.03508771929825,55.78947368421053,19.298245614035086,63.1578947368421,17.543859649122805,57.8938596491228,8.0,0.0,65.8938596491228,7,★★★★,NEUTRAL,0,Tjänster & Konsult
SUSG.ST,Sustainion Group AB,1.925,0.013157894736842176,-0.027777811225950688,233253,418008928,8.503,2.4647887,57.007,1.142,14952000.0,104962000.0,5681000.0,31377000.0,0.781,0.29352,0.058379997,0.401,2.601,1.291666681449565,0.49224806917909336,,6,0.69321996,0,0,0,N/A,61.2280701754386,57.89473684210527,70.0,98.24561403508771,27.36842105263158,42.10526315789473,98.24561403508771,35.08771929824561,62.48947368421053,3.0,0.0,65.48947368421054,8,★★★★,NEUTRAL,0,Cleantech & Energi
ADMCM.HE,Admicom Oyj,30.1,-0.011494252873563149,0.00500833438094217,18669,147250224,8.628,4.6443453,0.5,1.628,7191000.0,160000.0,9761478.0,9988776.0,6.481,0.49543998,0.1444,0.038,0.357,-0.4187243034059491,-0.2905316579026138,,7,0.052410003,0,0,0,N/A,28.947368421052634,77.19298245614034,85.0,78.0701754385965,69.82456140350877,38.59649122807017,15.789473684210526,47.368421052631575,57.26052631578946,8.0,0.0,75.26052631578946,9,★★★★,STARK UPPTREND,10,Övrigt
ADTR.ST,Adtraction Group AB,37.9,0.010666666666666628,-0.007853383012274673,10349,629410752,8.513,3.0269148,,1.253,133698000.0,0.0,64368136.0,54538704.0,12.521,0.08199,-0.008669999,0.115,,0.31715106892949163,0.38052460379034825,,4,0.76807,0,0,0,N/A,64.73684210526316,87.71929824561403,40.0,68.07017543859648,19.122807017543856,40.35087719298245,85.96491228070175,31.57894736842105,56.98947368421053,8.0,0.0,74.98947368421054,10,★★★,STARK UPPTREND,10,Mjukvara & SaaS
