ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,data_warnings,roe_raw,roa_raw,pe_trailing_raw,pe_forward_raw,revenue_growth_raw,earnings_growth_raw,debt_to_equity_raw,current_ratio_raw,exchange_group,_fundamentals_neutralized,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,India,INR,29865215250.0,50.18479275,40.79084275,,9.750859550000001,22.16178,21.875,42.978500000000004,,,0.13156500000000004,0.16525748,0.18578498,0.19000000000000003,0.48500000000000004,0.655,0.0,,,,32330000384.0,70000000.0,2456507908096.0,200330000000.0,,104760000000.0,,,29790000000.0,,25680000000.0,27380000000.0,0.0032,0.2722,30.0,0.62,30.0,1784851200.0,0.245,9615.0,5613.352076705792,9375.0,8447.0,,29.0,,,0.52008,0.30233,False,False,,0.5,484281.0,558456.0,1.3603482792489516,9.39,39.52,57.62,,-0.0249609984399376,0.24162280849558765,47.20534629404617,0.10997760814421653,0.3590594462051482,False,0.6596264243006786,,1.0,['market_cap: INR -> USD (x0.012) 2488767937500.0 -> 29865215250'],,,85.21952,62.303127,0.278,0.657,0.042,,India,True,True,,81.68094319123485,95.10194516890336,84.55903682789894,84.72422767112856,51.26637554585153,32.49370277078086,,50.0,,50.0,78.04882866856155,standard,8,54604974,False,4,NEUTRAL,0,38.2,False,29.303106633081445,53.14861460957179,2.5608732157850547,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-0.3
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,United States,USD,38849713680.21889,,,2.1831,20.53134685,5.2563543,5.115,0.0,0.98873999,0.050345003499999985,0.08020249075,0.11018000000000003,0.26167997,0.12949999999999998,0.301,0.609,128.68,0.0,0.994,261499968.0,3576000000.0,2534000128.0,37807714304.0,10744000000.0,,6925000000.0,,,1695000000.0,,1276000000.0,2067000000.0,0.010516204411772081,0.2938,2.08,2.23,0.52,1791504000.0,1.432,209.05999755859375,92.93030836511167,197.7899932861328,197.0,2.3,16.0,4.53,0.054899998,0.00417,1.01968,False,False,,0.686,2627434.0,2436150.0,1.8945724449013788,1.7,24.22,93.43,,-0.05390799007018199,0.4446611081261869,59.55972978961666,0.07298508205998888,0.4783023191865996,True,0.9346962158949176,,0.966,[],1.14818,0.116560005,27.93644,17.785366,0.299,0.635,169.498,1.242,US,True,True,,84.55769966084303,90.13397691140405,79.02993591132326,16.150944193830735,45.58951965065502,46.51553316540722,55.508919202518356,50.0,36.85220729366603,68.60000000000001,74.68564136501298,standard,13,481846092,False,5,NEUTRAL,0,48.9,False,64.98740554156171,43.8287153652393,23.425692695214106,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,8.8
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,Brazil,BRL,264155316881.5,,,5.4019,0.3694512,1.2081814,1.712,1.048,0.160947495,0.024417499500000002,0.17521250174999997,0.23874749500000003,0.20297003000000002,0.11099999999999999,-0.10200000000000009,0.968,7.7819999999999965,0.0,0.535,91592332544.0,53764001792.0,366532984832.0,938776526848.0,222337000000.0,,89195000000.0,,,27758000000.0,,19634000000.0,36047000000.0,0.08948453608247423,0.2872,4.34,22.26,1.348143,1787529600.0,-0.213,50.70000076293945,26.715394632715718,48.5,57.025,1.46154,12.0,,,0.0,0.61592996,False,False,,0.5,39503629.0,40291577.0,1.0763653271709912,17.42,28.92,9.75,,-0.04339251932610633,0.26748922161225824,73.6928040919479,0.1355679282816622,0.24446148636462217,True,0.6948219511241691,,0.768,"['market_cap: valuta BRL saknas i FX-tabell, lämnas oförändrad']",0.30274,0.10073,4.754902,4.909404,0.423,0.968,76.067,0.854,LatAm,True,True,94.12551260067447,83.5744821515938,75.72138441820876,65.5258506977807,69.69917038705249,12.314410480349345,99.32829554995803,96.43231899265477,50.0,,50.0,74.53519684429193,standard,14,380027928,False,5,NEUTRAL,0,59.5,False,94.12258606213267,11.838790931989925,78.0016792611251,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,6,0.8571428571428571,HÖG,VÄNTA,-0.7
6098.T,"Recruit Holdings Co., Ltd.",Communication Services,Internet Content & Information,Japan,JPY,163858839655.28,34.2533615,38.168312,1.615,11.673534700000001,6.2364774,6.08,21.363,0.23209500500000002,0.13907,0.08414,0.11979999999999998,0.29644499999999996,0.14150000000000001,0.6859999999999999,0.675,0.0,0.604,1.845,462837512192.0,853046001664.0,178827001856.0,23492978278400.0,2789018000000.0,,3697351000000.0,,,630567000000.0,,496912000000.0,610363000000.0,0.0014985590778097983,0.0719,26.0,0.36,13.0,1790640000.0,0.946,18215.0,6028.418262645158,17350.0,17881.25,1.4375,16.0,,,0.03763,0.53636,False,False,,0.5,4266304.0,4564800.0,1.0772952588236988,7.46,59.69,164.79,,-0.04748833379083173,0.5352732111923615,42.797668609492085,0.1653602541627206,0.7266214501179245,False,0.7157185723350082,,1.0,['market_cap: JPY -> USD (x0.0068) 24096888184600.0 -> 163858839655'],0.36222,0.17828,50.0,57.330734,0.189,0.737,10.003,2.089,Japan,True,True,54.38364875213849,86.1727709017835,95.01765686307618,84.40141356277287,43.67810707855757,18.253275109170307,30.142737195633924,69.5697796432319,50.0,,50.0,81.98338541679307,standard,1,504920368,False,7,STARK,8,52.4,False,97.52308984047019,17.548278757346765,19.059613769941226,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,3,0.42857142857142855,LÅG,OK,11.9
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,1147237548999.2625,,,0.1492,5.98785485,12.708394,12.491,-1.519000000000002,0.50693999,0.2824849985,0.44741250075,0.6472100300000001,0.28110999999999997,3.2874999999999996,13.351,13.983,0.0,1.7479999999999998,2.927,6729624768.0,26022000640.0,6376000000.0,1127591575552.0,82798000000.0,,37378000000.0,,,9809000000.0,,8539000000.0,17525000000.0,0.0005217562575005857,0.0112,0.53,0.33,0.15,1783296000.0,2.222,1254.8069810301963,154.40217499460977,1015.7999877929688,1513.1111,1.34694,45.0,0.95,0.026400002,0.00238,0.79899,False,False,,0.602,39077752.0,25917470.0,1.4361010471184157,8.4,-10.41,128.78,,-0.19047311407289336,0.8167840512963901,61.036301596487974,0.09548915311865147,0.5871446981032582,True,0.9073789910208654,,1.0,[],0.66638,0.3487,22.9352,6.489501,3.457,13.685,6.33,3.425,US,True,True,,95.33183282937867,65.05470352767804,97.97442405578205,32.191446574597315,7.074235807860261,28.79932829554996,53.62014690451207,50.0,67.65834932821497,60.199999999999996,73.36543931673549,standard,16,26326965710,False,6,NEUTRAL,0,40.6,False,63.89588581024349,6.801007556675064,7.5566750629722925,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,3,0.42857142857142855,LÅG,OK,2.2
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,United States,USD,128813589012.60168,,,17.5581,1.6328858999999998,2.6189075,3.31,-5.956,0.34870998000000003,0.046209999999999994,0.07490499749999999,0.137027505,0.27203,-0.030999999999999993,1.359,1.532,,0.0,1.29,7204500160.0,11066999808.0,45053001728.0,162799583232.0,90038000000.0,,48195000000.0,,,13724000000.0,,7054000000.0,14156000000.0,0.03996194013829094,0.5529,2.52,4.02,0.63,1790899200.0,0.227,68.63999938964844,41.13021258475044,63.060001373291016,66.70833,2.46429,24.0,4.07,0.0216,0.00097000005,0.84898,False,False,,0.497,11230014.0,10986160.0,4.029505963825929,-6.73,18.1,10.87,,-0.08129367811735355,0.2758436725209263,27.721488120100346,-0.014810627683642386,0.08546556061785471,False,0.1476090331599945,,1.0,['debt_to_equity: 201.859 > 200 -> None'],0.46598998,0.10719,13.889869,9.605719,0.057,1.531,,1.532,US,True,True,,83.92134961519642,78.10637528261513,77.85819737575852,61.497023399171724,21.31004366812227,88.9168765743073,86.77859391395593,50.0,75.62380038387715,49.7,73.12013576958881,standard,18,692787265,False,4,NEUTRAL,0,55.6,False,84.63476070528966,20.486985726280437,58.77413937867338,50.04198152812762,50.04198152812762,50.04198152812762,VARNING,False,5,0.7142857142857143,HÖG,VÄNTA,-0.3
MSAB-B.ST,Micro Systemation AB (publ),Technology,Software - Application,Sweden,SEK,151678154.46419358,,9.914788875,,7.07329625,3.3041008,3.163,-3.718,0.42623999,0.12582,0.051237503250000004,-0.009570005000000006,0.49483999999999995,0.35250000000000004,,,18.181000000000004,0.0,1.495,-761881896.0,145300000.0,73300000.0,1615975168.0,318067000.0,,461784000.0,,,67843000.0,,49172000.0,101888000.0,0.013129102625454915,0.3989,1.2,4.0,0.6,1794441600.0,0.416,98.0,53.375131080436816,91.4000015258789,99.0,,2.0,,,0.2339,0.56368,False,False,,0.5,25921.0,18941.0,0.3366991421090352,2.7,28.01,49.61,,-0.06734692320531732,0.47780985675974236,45.90163831908137,0.02388315690801468,0.26594876023424274,False,0.2828316706677958,,0.52,['market_cap: SEK -> USD (x0.095) 1596612152.2546692 -> 151678154'],0.59636,0.19253,24.308512,29.015873,0.522,,51.439,1.612,Nordic,True,True,,81.24213130180377,77.39460534670174,68.63216548355088,51.88964650399405,98.95196506550218,51.72124265323258,1.1017838405036726,50.0,,50.0,72.62807860711145,standard,23,176136,False,4,NEUTRAL,0,49.8,False,29.303106633081445,97.52308984047019,35.34844668345928,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,13.0
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,USD,5367153793167.114,,,0.4722,18.040662849999997,17.715132,17.603,8.451,1.01266999,0.46950499849999994,0.52498250075,0.5058799700000001,0.3021600400000001,0.8895,0.944,1.259,0.0,2.9120000000000004,2.918,40899999936.0,62469001216.0,38860001280.0,5333097906176.0,206803000000.0,,215938000000.0,,,130387000000.0,,120067000000.0,102718000000.0,0.004499032621487645,0.0354,1.0,0.05,0.25,1788998400.0,2.217,236.00055597235212,163.89537828689438,222.27000427246094,328.4879,1.29508,58.0,2.33,0.0128999995,0.04008,0.71411,False,False,,0.442,129288142.0,113686690.0,1.4085039380837014,2.28,5.61,24.76,,-0.05818016675138571,0.3807810919518806,54.971047840753336,0.03831990433069654,0.12245464071193313,False,0.6373474728880099,,0.897,[],1.17211,0.53572,28.099874,14.173006,1.059,1.278,16.971,4.589,US,True,True,52.034574337187394,96.416222947605,75.6826545963597,87.67868890148048,45.566933071451075,4.978165938864628,34.25692695214106,56.24344176285414,50.0,88.09980806142035,44.2,80.5814937499533,standard,2,25269141072,False,8,STARK,8,39.8,False,65.91099916036943,2.5608732157850547,2.5608732157850547,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,0.6
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,63793630364820.0,,,0.7365,6.328015349999999,14.366342,13.824,2.8229999999999986,0.26398002,0.14753000899999996,0.35883750325,0.445990035,0.27639499,0.19049999999999997,0.44,0.774,9.418000000000001,0.8100000000000003,2.132,720960064512.0,3518010228736.0,1068558516224.0,61386130456576.0,7932842500000.0,,3809054300000.0,,,1936095600000.0,,1697604000000.0,2274975600000.0,0.011382113821138212,0.2573,28.0,1.67,7.0,1796860800.0,1.247,2527.5598203360314,1249.6747909130288,2460.0,3236.1177,1.32353,34.0,,,0.00023,0.43316,False,False,,0.5,26251042.0,20072810.0,1.954328257692263,3.88,-0.91,34.45,,-0.026729266620106995,0.32724390326378155,58.83503203929523,0.032090661484897254,0.19883212880170653,True,0.8935995800235844,,0.95,"['market_cap: valuta TWD saknas i FX-tabell, lämnas oförändrad']",0.39969003,0.19002001,28.73496,17.250307,0.36,0.774,16.504,2.458,Asia,True,True,63.48889357002375,93.40256507207884,77.15437463832006,82.720335853992,57.98402591879798,1.7467248908296942,48.44668345927792,60.545645330535145,50.0,,50.0,72.55001955195502,standard,24,1554611163,False,5,NEUTRAL,0,40.9,False,68.34592779177162,2.5608732157850547,6.045340050377834,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,1.4
6861.T,Keyence Corporation,Technology,Scientific & Technical Instruments,Japan,JPY,126293509421.18399,14.905983999999997,17.411809375,2.2643,1.5334955500000003,14.800822,13.664,,,,0.32195750325,0.457129995,0.53526505,0.1585,0.176,0.51,,9.8335,11.111,,1426593939456.0,0.0,17145977110528.0,3670655000000.0,,1169289000000.0,,,595759000000.0,,445185000000.0,430680000000.0,0.007182031862104988,0.2996,550.0,0.52,275.0,1805328000.0,1.003,87601.44997369344,51086.202109389946,76580.0,97866.664,1.46667,15.0,,,0.22763,0.37401,False,False,,0.5,615812.0,525640.0,1.2557920757398344,-4.75,-1.08,29.75,,-0.12581355647655557,0.41113153520935763,21.609372064602155,-0.0273382274056837,0.12786406570413877,False,0.3333662887560961,,1.0,['market_cap: JPY -> USD (x0.0068) 18572574914880.0 -> 126293509421'],,,41.666664,41.00911,0.328,0.51,,11.867,Japan,True,True,,98.19822829285175,69.81937102026686,79.07625275427765,55.784605847261616,21.48471615720524,38.95885810243493,,50.0,,50.0,72.20127543118886,standard,26,256628819,False,5,NEUTRAL,0,33.8,False,29.303106633081445,20.65491183879093,5.877413937867338,50.04198152812762,50.04198152812762,50.04198152812762,VARNING,False,3,0.42857142857142855,LÅG,VÄNTA,1.6
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,United States,USD,124613924138.58035,29.576541,24.876565375000002,1.8651,74.94245685,16.55471,16.089,28.607000000000003,1.01497999,0.0754449985,0.17008250074999998,0.17946002000000003,0.35746004,0.0865,0.10499999999999998,0.378,0.0,0.0,1.141,1355712448.0,4069600000.0,561400000.0,121105727488.0,10389200000.0,,6799600000.0,,,2084700000.0,,1853400000.0,2590600000.0,,0.0,,,,,1.059,176.10000610351562,73.55000305175781,169.83999633789062,164.31944,2.77273,36.0,2.89,0.0223,0.17361,0.71551,False,False,,0.488,5117674.0,4775170.0,2.7089280189831633,11.12,17.35,104.33,,-0.03554803832286768,0.42272759595307197,53.8787841796875,0.06042232632065292,0.4913616808758614,True,0.7517510178749648,,1.0,[],1.17442,0.14166,60.87455,44.957737,0.256,0.439,36.194,1.282,US,True,True,46.73786147821927,91.29240836487926,92.29973693327956,74.19249868255835,28.173036242958705,21.83406113537118,11.7968094038623,60.33578174186779,50.0,74.6641074856046,48.8,80.18882019763885,standard,3,811014855,False,8,STARK,8,43.4,False,67.75818639798489,20.990764063811923,5.121746431570109,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,3,0.42857142857142855,LÅG,OK,4.3
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,United States,USD,118994660730.60605,,,4.0843,2.0127726999999997,0.8985476,0.949,0.6099999999999994,0.14307749999999997,0.04012749449999999,-0.04719250075,-0.09337248999999999,,0.20500000000000002,3.465,4.21,0.0,0.3849999999999999,1.047,7506499776.0,7873999872.0,11349000192.0,125736665088.0,57988000000.0,,122687000000.0,,,4312000000.0,,2348000000.0,5826000000.0,0.0116144018926097,0.1943,4.8,3.16,1.2,1785456000.0,0.568,416.6600036621094,152.06589837494732,413.2799987792969,355.4737,2.3,19.0,3.96,0.0399,0.00422,0.87031,False,False,,0.286,2953925.0,3952930.0,2.9570780123325684,19.36,75.57,72.2,,-0.008112141441714904,0.3642484199343125,86.74304768432845,0.2252197128844018,0.6667002184472601,True,0.9330960219464643,,1.0,[],0.27637,0.105579995,17.241552,11.07206,0.517,4.535,40.148,1.636,US,True,True,91.96781566653345,44.127348532812675,97.2702765849174,93.86941454714301,59.02920830773513,22.62008733624454,49.03442485306465,91.50052465897167,50.0,49.520153550863725,28.599999999999998,72.04554627180889,standard,27,1633666906,False,5,NEUTRAL,0,59.8,False,85.7262804366079,21.746431570109152,84.21494542401344,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,5.4
HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,United States,USD,12762849753.631592,,,,85.1777236,7.6711893,8.842,-0.5550000000000006,1.61946,0.19393999999999997,0.1347849875,0.39087753500000005,0.31813003000000006,0.389,0.257,0.392,,0.8297500000000001,1.994,-572566368.0,231003008.0,2178533120.0,14710380544.0,2525323000.0,,1396611000.0,,,802593000.0,,316889000.0,651558000.0,,0.0,,,,,0.882,112.66000366210938,61.22999954223633,112.44999694824219,99.55556,1.66667,9.0,6.5,0.1719,0.01107,1.12139,False,False,,0.635,2050831.0,2255340.0,5.360756361798676,4.49,64.04,77.73,,-0.0018640751556963098,0.3720938295204639,69.72220962430758,0.17141270499143757,0.4817283777282291,False,1.1144956338105847,,0.66,['debt_to_equity: 1517.687 > 200 -> None'],1.73674,0.25492,32.97654,10.81972,0.477,0.429,,2.709,US,True,True,,93.46806813058382,86.1056245988016,70.62593780304894,54.94865219702214,67.9475982532751,11.7968094038623,26.75760755508919,50.0,9.980806142034549,63.5,71.76457960095776,standard,28,253612976,False,4,NEUTRAL,0,42.4,False,29.303106633081445,69.1855583543241,14.441645675902603,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,8.2
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,United States,USD,408698714359.31604,120.53106100000001,56.389238375,1.6964,38.26952884999999,69.34428,67.868,138.863,0.22152998999999995,0.1067149885,0.37840252074999997,0.31471997,0.40338000000000007,0.7585000000000001,1.8199999999999998,2.25,0.0,5.551,7.095,1249229504.0,9409098752.0,211400000.0,417792294912.0,8900392000.0,,4475446000.0,,,1414015000.0,,1625033000.0,2134473000.0,,0.0,,,,,1.621,207.52000427246094,106.37000274658203,177.63999938964844,196.84074,1.8125,27.0,1.44,0.030299999,0.03477,0.64745003,False,False,,0.467,39352336.0,25401960.0,1.359781442775093,1.4,38.27,14.11,,-0.14398614238452834,0.6068053149053372,42.79527396936448,0.1224623914141989,0.170588918322496,False,0.5707137069076768,,1.0,[],0.38097,0.17292999,151.82907,76.47041,0.928,2.154,2.139,7.228,US,True,True,36.51252389511544,94.26253178248682,77.24082545443643,94.06796531021521,40.003910156727954,10.043668122270741,11.7968094038623,50.47219307450157,50.0,62.09213051823417,46.7,79.66308004729026,standard,4,4512404159,False,9,STARK,8,40.0,False,62.468513853904284,9.655751469353484,2.5608732157850547,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,3.0
7167.T,"Mebuki Financial Group,Inc.",Financial Services,Banks - Regional,Japan,JPY,10734787810.9352,6.6253249999999975,25.860453999999997,,0.2958795000000001,4.1810327,1.053,,-0.015299994999999997,-0.0008000000000000021,0.02985996000000002,0.11144500000000002,,0.3225,0.39649999999999996,0.553,,,,,3227891007488.0,2046954962944.0,397733756928.0,21173586000000.0,,338204000000.0,,,,,84163000000.0,-1119492000000.0,0.026159334126040427,0.3145,44.0,2.82,22.0,1790640000.0,,1726.5,860.6614308589701,1682.0,1896.0,2.2,5.0,,,0.046079997,0.40886003,False,False,,0.5,2786674.0,2700040.0,1.6346860238056267,4.57,19.21,43.64,,-0.025774688676513224,0.33406658900497604,44.88977955911823,0.04819712587090086,0.2622767308612892,False,0.49173197298420585,,1.0,"['gross_margin: None för sektor Financial Services', 'market_cap: JPY -> USD (x0.0068) 1578645266314.0 -> 10734787811']",0.09242,0.00442,18.903124,42.89722,0.427,0.581,,,Japan,True,True,,58.603871635146696,91.3219317476683,84.69692706492626,49.35622317596567,71.4410480349345,73.13182199832073,,50.0,,50.0,71.22937330841333,standard,30,28953285,False,4,NEUTRAL,0,48.2,False,29.303106633081445,72.544080604534,50.04198152812762,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,3,0.42857142857142855,LÅG,OK,16.8
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,United States,USD,14460539696.353943,,,2.56,3.7387733,5.9363775,5.66,-1.0439999999999996,0.32665003,0.17876001,0.2395050175,0.187977505,0.5202500400000001,0.018000000000000002,0.09000000000000002,0.147,0.0,1.57675,3.244,-170159872.0,839385024.0,165928992.0,13787083776.0,2844423000.0,,2320126000.0,,,892701000.0,,782570000.0,884267000.0,,0.0,,,,,0.422,59.720001220703125,33.7599983215332,58.36000061035156,53.6875,2.36842,16.0,10.98,0.15810001,0.01845,1.0688701,False,False,,0.1,2527987.0,2322480.0,2.379726957500499,7.3,12.43,41.44,,-0.02277295014321079,0.3701754170279608,66.63827021453497,0.053627406950001566,0.20822405272569777,True,0.7470178459906265,,1.0,[],0.44393003,0.23974001,18.352201,13.696605,0.106,0.262,8.999,3.456,US,True,True,,94.59990772730058,88.94846560310242,65.06462224439272,68.6096990973258,65.41484716157206,11.7968094038623,38.30010493179433,50.0,11.132437619961612,10.0,70.68311450565679,standard,32,135539934,False,6,NEUTRAL,0,42.9,False,29.303106633081445,66.75062972292191,20.31905961376994,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,2.0
FLRY3.SA,Fleury S.A.,Healthcare,Diagnostics & Research,Brazil,BRL,11622727870.81073,,,,0.007153799999999766,1.3220644,1.736,-0.8549999999999995,0.0003999950000000141,-0.007159999999999993,0.0,-0.027712499999999987,,0.055999999999999994,,0.457,26.713500000000003,0.030750000000000166,1.737,-1807380352.0,1899128960.0,5408985088.0,15263080448.0,13220481000.0,,8291182000.0,,,1240911000.0,,612831000.0,2133775000.0,0.0753040254068126,1.0424,1.61,5.37,0.400733,1786492800.0,,21.6299991607666,12.905559575356605,21.3799991607666,18.63333,2.75,12.0,,,0.55276,0.2827,False,False,,0.5,3356809.0,4160566.0,0.6371315690525257,18.45,46.36,42.44,,-0.011558021715204703,0.2811563573030798,78.20511984506462,0.18081910353044783,0.3235099852837715,True,0.8293524220486291,,1.0,"['market_cap: valuta BRL saknas i FX-tabell, lämnas oförändrad']",0.12618,0.06468,18.431034,13.886272,0.144,,98.018,1.861,LatAm,True,True,,44.75712197451803,95.34802572581086,77.74392574810604,57.176875986353174,70.13100436681222,86.64987405541562,11.647429171038825,50.0,,50.0,62.68161780280428,standard,121,17298945,False,3,SVAG,-8,52.0,False,29.303106633081445,71.28463476070529,76.2384550797649,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.2
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,United States,USD,208494729428.4941,,,2.2861,13.6984536,5.4730206,6.61,0.02600000000000069,0.79745,0.025689999999999998,0.11570500749999998,0.14832752500000002,0.2743300000000001,0.007000000000000006,0.47700000000000004,0.659,,0.0,0.95,7735749824.0,13989000192.0,57303998464.0,251809726464.0,90586000000.0,,36751000000.0,,,9080000000.0,,7711000000.0,9958000000.0,0.02613769002860573,0.6087,10.08,3.07,2.52,1787270400.0,0.426,447.0299987792969,262.48852886002834,385.6499938964844,387.68967,2.63636,29.0,5.11,0.024,0.00228,0.85006,False,False,,0.332,2643060.0,3658180.0,2.9455387379915683,-12.31,14.9,11.69,,-0.1373062323567158,0.29422523187530264,27.416694811804803,-0.033235347693028716,0.08188871637956141,False,0.2613726746498984,,0.98,['debt_to_equity: 490.281 > 200 -> None'],0.91473,0.08667,23.98321,15.803838,0.095,0.649,,1.371,US,True,True,85.24847967020311,84.6658361449748,70.96718516482278,74.45057239231383,51.65970681447305,15.109170305676855,73.04785894206549,79.32843651626443,50.0,72.93666026871402,33.2,70.65525605759211,standard,33,1410777095,False,5,NEUTRAL,0,48.2,False,80.52057094878253,14.525608732157849,22.58606213266163,50.04198152812762,50.04198152812762,50.04198152812762,VARNING,False,5,0.7142857142857143,HÖG,VÄNTA,7.1
0005.HK,HSBC Holdings plc,Financial Services,Banks - Diversified,United Kingdom,HKD,2765112618137.1084,,,0.9035,1.0346132,41.00594,35.473,,0.01529999,0.0100150005,0.08228997999999998,0.18501502999999997,,0.14950000000000002,,0.672,,,,,1219653009408.0,837577998336.0,2392026513408.0,3233034000000.0,,71020000000.0,,,,,22285000000.0,29766000000.0,0.03632425605380158,0.535,5.87,5.07,0.784088,1786579200.0,0.571,168.87559828765873,96.03062626599623,161.60000610351562,177.30305,1.81818,10.0,,,0.00198,0.52948004,False,False,,0.5,12357988.0,9457124.0,1.1935203917546184,0.81,9.8,30.85,,-0.0430825546018202,0.27204714376148975,51.20001367189168,0.0011601152123414948,0.16386826052091075,False,0.3621541992570351,,1.0,"['gross_margin: None för sektor Financial Services', 'market_cap: valuta HKD saknas i FX-tabell, lämnas oförändrad']",0.13104999,0.00782,14.704277,11.156154,0.254,,,,Asia,True,True,,70.53896287649461,84.428800175319,85.26227028772718,68.76466195709634,5.851528384279476,85.3904282115869,,50.0,,50.0,62.64721175039837,standard,123,194823228,False,3,SVAG,-8,38.2,False,29.303106633081445,5.625524769101595,50.04198152812762,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,3.2
SU.TO,Suncor Energy Inc.,Energy,Oil & Gas Integrated,Canada,CAD,83686138635.47414,,,11.41,0.2777571999999998,2.0264542,2.172,-1.37,0.06715249999999999,0.023047503499999997,0.07605249874999999,0.08814749999999998,0.22321501499999996,0.14700000000000002,1.349,2.291,0.0,0.4145,1.081,8461775488.0,5372000256.0,14680000512.0,122867335168.0,89913000000.0,,52377000000.0,,,7995000000.0,,5918000000.0,12781000000.0,0.02471933351040172,0.3164,2.4,3.84,0.6,1788480000.0,0.556,100.23999786376953,51.42640214497067,97.08999633789062,105.05,1.85714,20.0,2.29,,0.00014999999,0.72456,False,False,,0.5,5329061.0,7494570.0,1.19756630471116,4.73,24.98,13.04,,-0.03142459689753674,0.2734658726760912,67.71000043942811,0.06697095377669293,0.20035674491004518,True,0.7859510448300081,,0.806,['market_cap: CAD -> USD (x0.73) 114638546075.99197 -> 83686138635'],0.19251,0.085760005,12.962617,12.182864,0.459,2.419,30.48,1.654,Canada,True,True,,74.89130064434224,78.05855983408891,83.07495314010983,68.79884326949797,28.12227074235808,70.61293031066332,93.38929695697796,50.0,,50.0,70.53105481927395,standard,35,520231491,False,5,NEUTRAL,0,58.9,False,89.67254408060454,27.036104114189758,65.91099916036943,50.04198152812762,50.04198152812762,50.04198152812762,UPPTREND,False,5,0.7142857142857143,HÖG,OK,0.3
