ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,data_warnings,roe_raw,roa_raw,pe_trailing_raw,pe_forward_raw,revenue_growth_raw,earnings_growth_raw,debt_to_equity_raw,current_ratio_raw,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,data_quality,data_anomaly,data_fetched_date,data_stale_days,predicted_return,ml_rank,_fundamentals_neutralized
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,India,INR,30158292562.32,,,,5.492548775000001,22.379261,21.553,20.762999999999998,,,0.13725501200000004,0.1596349775,,0.19050000000000003,0.49550000000000005,0.655,0.0,,,,32330000384.0,70000000.0,2420404125696.0,200330000000.0,,104760000000.0,,,29790000000.0,,25680000000.0,27380000000.0,0.0031689025034329775,0.3101,30.0,0.62,30.0,1784851200.0,0.22,9467.0,5613.352076705792,9467.0,8447.0,2.72414,29.0,,,0.51993,0.30229,False,False,,0.5,445292.0,403762.0,1.5442405369945942,17.51,44.55,46.83,,0.0,0.23633192101451733,81.90305206463195,0.22708390235902653,0.4135288169761073,True,1.1492370881288234,,1.0,['market_cap: INR -> USD (x0.012) 2513191046860.0 -> 30158292562'],,,97.587875,62.91453,0.278,0.657,0.042,,India,True,,82.6923076923077,95.62431827811041,84.21508900020181,83.6268275588664,67.16791979949875,37.44292237442922,,50.0,,50.0,79.44085704475768,standard,2,40459538,False,4,NEUTRAL,0,37.1,False,30.70469798657718,43.624161073825505,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.3,0.625,MISSING_CRITICAL;,2026-09-03,0,0.005059470888227224,70.0,True
6098.T,"Recruit Holdings Co., Ltd.",Communication Services,Internet Content & Information,Japan,JPY,171838343297.306,,,1.5796,10.479932475000002,6.5401783,6.242,10.309249999999999,0.10749500625,0.08743499754999998,0.03073501000000002,0.0,,0.14,0.6859999999999999,0.675,0.0,0.0,1.845,143792996352.0,853046001664.0,178827001856.0,24119456301056.0,2789018000000.0,,3697351000000.0,,,630567000000.0,,496912000000.0,610363000000.0,0.0014273950041174856,0.0719,26.0,0.36,13.0,1790640000.0,0.905,18215.0,6028.418262645158,18215.0,15850.0,1.4375,16.0,,,0.03763,0.54235,False,False,,0.5,4312039.0,3481620.0,1.4067328174611617,41.04,67.11,190.14,,0.0,0.5243395398020414,70.45908183632734,0.3497891764915113,0.9280501149926228,True,0.8468145286678536,,1.0,['market_cap: JPY -> USD (x0.0068) 25270344602545.0 -> 171838343297'],0.36222,0.17828,52.477673,60.189007,0.189,0.737,10.003,2.089,Japan,True,58.50606261687881,67.87589206770241,97.84129658327642,83.98620006928172,45.105813400716315,28.07017543859649,34.24657534246575,60.74380165289256,50.0,,50.0,72.65577957072237,standard,9,407084810,False,6,NEUTRAL,0,51.6,False,97.5251677852349,11.74496644295302,19.379194630872483,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,-0.0,0.75,,2026-09-03,0,0.04393068701028824,89.9,True
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,USD,517591977045.9244,,,1.8128,82.11860145000004,14.864427,15.236,11.48375,2.20833001,0.211545,0.19070499,0.22434878374999992,,0.03649999999999999,0.036500000000000005,0.186,,,0.666,15461812736.0,11608999936.0,24643000320.0,534517710848.0,54157000000.0,,32791000000.0,,,19514000000.0,,14968000000.0,17648000000.0,0.005845792157500029,0.17930001,3.48,0.54,0.87,1783555200.0,0.735,601.22998046875,463.74259988972767,595.2999877929688,669.4595,1.375,37.0,2.4,0.0083,0.00112,0.91285,False,False,,0.576,3472028.0,2947600.0,0.657829542837603,3.11,20.71,15.49,,-0.009863102088086051,0.22554100408991515,72.78400257609701,0.08645615217662961,0.1270775254414136,True,0.8550366222437286,,0.907,"['debt_to_equity: 439.583 > 200 -> None'
 'gross_margin: None för sektor Financial Services'
 'current_ratio: None för sektor Financial Services']",2.41202,0.24063,32.780838,25.853596,0.141,0.221,,,US,True,74.54756590456657,93.98545061260577,79.65408667356859,58.19597182447009,70.63971517855013,16.290726817042607,42.69406392694064,85.53719008264463,50.0,88.0,57.599999999999994,79.50345249451966,standard,1,1754706244,False,7,STARK,8,50.1,False,78.85906040268456,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,5.3,0.625,,2026-09-03,0,-0.0213945209980011,20.1,True
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,165468925310.784,,,1.5935,17.6754846,19.746431,20.473,16.53725,0.31776499875,0.19076999579999993,0.249540012,0.31501,,0.2235,0.6359999999999999,0.938,0.0,0.0,1.77,0.0,413124001792.0,108165996544.0,25229340442624.0,1171816000000.0,,1128610000000.0,,,499120000000.0,,375353000000.0,335182000000.0,0.0017809439002671415,0.1145,60.0,0.79,30.0,1774828800.0,1.185,38730.0,10414.880981730657,33690.0,41361.906,1.52381,21.0,,,0.00279,0.66356003,False,False,,0.5,8983204.0,8202220.0,1.1128713248105688,20.6,31.22,17.9,,-0.13013168086754456,0.7530553699479827,47.83927217589083,0.058704854204180146,0.29590501020963167,False,0.3746188751522148,,1.0,['market_cap: JPY -> USD (x0.0068) 24333665486880.0 -> 165468925311'],0.56895,0.2925,65.425095,141.7154,0.393,0.953,10.374,2.666,Japan,True,44.80002412981842,92.49932897562209,74.43014105395676,87.98312923848795,37.1555915548634,29.07268170426065,35.38812785388128,47.107438016528924,50.0,,50.0,71.36812917877695,standard,11,1773808688,False,4,NEUTRAL,0,49.2,False,97.5251677852349,12.5,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,OK,-0.2,0.75,,2026-09-03,0,0.3127307593822479,100.0,True
HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,United States,USD,11957014126.815796,,,,71.46087162500004,7.1868377,8.357,-5.2627500000000005,1.5560800125,0.18665999959999996,0.12800999200000002,0.40659381124999994,,0.38949999999999996,0.2675,0.392,,0.7295000000000005,1.994,-1162128928.0,231003008.0,2178533120.0,13904544768.0,2525323000.0,,1396611000.0,,,802593000.0,,316889000.0,651558000.0,,0.0,,,,,0.848,109.66000366210938,61.22999954223633,105.3499984741211,99.55556,1.66667,9.0,6.6,0.169,0.0110599995,1.12357,False,False,,0.675,2009660.0,1786310.0,0.7075781289443126,26.47,58.33,51.52,,-0.039303347109749476,0.3718967949399266,56.32236264613879,0.21386628706526967,0.4382330839108861,False,0.631303809988568,,0.66,['debt_to_equity: 1517.687 > 200 -> None'],1.73674,0.25492,30.894426,10.136572,0.477,0.429,,2.709,US,True,,93.49205033472275,80.72487808732073,69.78492642088983,55.9942610306688,80.95238095238095,11.415525114155251,14.049586776859504,50.0,7.428571428571429,67.5,62.95862589893987,standard,31,188187756,False,3,SVAG,-8,43.3,False,30.70469798657718,71.30872483221476,15.939597315436242,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,,0.625,,2026-09-03,0,0.030601613223552704,86.0,True
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,United States,USD,428599870612.72626,,,2.49,32.18722117499998,72.72093,71.245,142.34725000000003,0.15872000499999994,0.0990899881,0.372855022,0.3329737412499999,,0.7585000000000001,1.837,2.25,0.0,5.468000000000001,7.095,659666944.0,9409098752.0,211400000.0,438578741248.0,8900392000.0,,4475446000.0,,,1414015000.0,,1625033000.0,2134473000.0,,0.0,,,,,1.563,207.52000427246094,106.37000274658203,186.2899932861328,191.68,1.8125,27.0,1.52,0.0318,0.03477,0.64865,False,False,,0.1,41851117.0,31023310.0,0.5308229141934615,52.37,19.0,35.79,,-0.10230344327891605,0.6013511505722294,60.78813446306696,0.29597186941209896,0.2306811724547777,True,0.7916504228743534,,1.0,[],0.38097,0.17292999,159.22223,80.49727,0.928,2.154,2.139,7.228,US,True,37.47089340652711,89.71260420613868,78.27628122627213,94.68500080283798,40.93105682911508,16.791979949874687,11.415525114155251,51.652892561983464,50.0,48.285714285714285,10.0,78.61866279826513,standard,3,5779332212,False,7,STARK,8,39.1,False,63.08724832214765,2.5587248322147653,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,-0.9,0.75,,2026-09-03,0,-0.010853996500372887,42.5,True
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,United States,USD,121796466398.0,,,2.3717,64.91734217500004,16.180416,15.714,23.200250000000004,0.9521700050000002,0.0678199981,0.16453500199999999,0.19771379125000002,,0.0865,0.122,0.378,0.0,0.0,1.141,766149888.0,4069600000.0,561400000.0,118288269312.0,10389200000.0,,6799600000.0,,,2084700000.0,,1853400000.0,2590600000.0,,0.0,,,,,1.058,173.88999938964844,73.55000305175781,166.0,160.86485,2.68182,37.0,2.65,0.0234,0.17361,0.71666,False,False,,0.41,5682409.0,4278470.0,1.1272435631516358,7.62,20.32,110.05,,-0.045373508639612536,0.40995431211080735,51.523398937053,0.05434045680746724,0.5354603483402374,True,0.7535335960801992,,1.0,[],1.17442,0.14166,58.86525,44.154102,0.256,0.439,36.194,1.282,US,True,50.98238523255112,87.92550839964633,88.3285553340698,71.23597493421032,32.30292295826276,34.335839598997495,11.415525114155251,61.57024793388429,50.0,63.42857142857142,41.0,78.53196408866211,standard,4,710226020,False,7,STARK,8,43.0,False,68.70805369127517,16.44295302013423,5.453020134228188,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,OK,4.7,0.75,,2026-09-03,0,0.04855714365839958,90.7,True
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,USD,5253179923690.796,,,0.6279,13.351088174999997,17.338943,17.227,3.5642500000000013,0.9498600050000001,0.4618799981,0.5194350020000001,0.52413374125,,0.8895,0.9610000000000001,1.259,0.0,2.829,2.918,40310437376.0,62469001216.0,38860001280.0,5219345760256.0,206803000000.0,,215938000000.0,,,130387000000.0,,120067000000.0,102718000000.0,0.004596644385070809,0.0354,1.0,0.05,0.25,1788998400.0,2.215,236.26463268418732,163.8517783946414,217.5500030517578,323.41898,1.27869,58.0,2.35,0.0123000005,0.04008,0.71499,False,False,,0.1,140227025.0,141582320.0,1.521752807704103,11.54,3.16,22.93,,-0.07921045744263033,0.38103188455406284,50.0,0.04380579449595201,0.11184869398215014,False,0.479431870406088,,0.897,[],1.17211,0.53572,27.468435,14.213399,1.059,1.278,16.971,4.589,US,True,68.86016770223804,98.3021109637489,61.50502131017688,88.52639611209379,44.64995666451977,10.025062656641603,39.726027397260275,62.396694214876035,50.0,83.14285714285714,10.0,78.4036304535822,standard,5,30801234148,False,7,STARK,8,39.9,False,66.35906040268456,2.5587248322147653,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,STARK,-8.0,0.75,,2026-09-03,0,0.03144313022494316,86.7,True
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,62367350011135.0,,,0.9039,4.692832849999999,14.045143,13.591,1.180500000000003,0.261890025,0.13360500809999998,0.33791001200000004,0.40719004999999997,,0.19049999999999997,0.457,0.774,8.9425,0.7470000000000001,2.132,680035495936.0,3518010228736.0,1068558516224.0,60348837134336.0,7932842500000.0,,3809054300000.0,,,1936095600000.0,,1697604000000.0,2274975600000.0,0.011642411642411643,0.2573,28.0,1.69,7.0,1789516800.0,1.258,2535.0,1129.9384980426837,2405.0,3229.3333,1.30303,33.0,,,0.00023,0.43315,False,False,,0.5,29134405.0,15186694.0,1.4971864243822828,-0.82,1.32,22.5,,-0.05128205128205132,0.3273908419736013,51.66666666666666,0.005476817592708683,0.2096351095509954,True,0.6297280095871566,,0.95,"['market_cap: valuta TWD saknas i FX-tabell, lämnas oförändrad']",0.39969003,0.19002001,28.151703,16.921236,0.36,0.774,16.504,2.458,Asia,True,74.66972311033359,92.97457212327902,65.3411876811111,82.50427986738056,50.18797758482224,4.260651629072681,54.109589041095894,66.94214876033058,50.0,,50.0,70.1681070928856,standard,13,1152612917,False,5,NEUTRAL,0,41.3,False,69.37919463087249,2.5587248322147653,6.795302013422819,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,1.3,0.75,,2026-09-03,0,-0.007783147972077131,48.4,True
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,867456873899.82,,,0.2414,,6.2816157,5.862,-10.150499999999997,0.7889899949999998,0.2801949981,0.6948700120000001,0.56703003,,2.3985,12.407,12.408,0.47550000000000026,0.8800000000000001,2.26,55717308805120.0,87980978995200.0,21113138577408.0,1108852577665024.0,176107659000000.0,,97146675000000.0,,,47206319000000.0,,42919287000000.0,53373126000000.0,0.0008960573476702509,0.013200001,1500.0,1.05,375.0,1787875200.0,2.395,2986352.5777339735,254250.51727294922,1674000.0,3216024.8,1.34211,38.0,,,0.20212,0.39409,False,False,,0.5,5586647.0,4135432.0,1.1434639343959818,26.65,-28.23,64.81,,-0.43944997905430805,0.9179312198552465,64.96875890729089,-0.1322360914017332,0.3029695443204756,True,0.6791065297880587,,1.0,['market_cap: KRW -> USD (x0.00073) 1188297087534000.0 -> 867456873900'],0.92679,0.33661,,3.5610244,2.568,12.724,8.037,2.591,Asia,True,,97.7068728685108,50.54922161300222,97.83686815977732,37.772051895231506,14.035087719298245,33.10502283105023,90.49586776859503,50.0,,50.0,77.88445449970094,standard,6,5053580613,False,7,STARK,8,50.4,False,97.5251677852349,2.5587248322147653,20.469798657718123,50.041946308724825,50.041946308724825,50.041946308724825,VARNING,False,2,0.2857142857142857,LÅG,OK,3.9,0.625,,2026-09-03,0,-0.054774779826402664,3.2,True
