ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,predicted_return,ml_rank,data_quality,data_anomaly,data_fetched_date,data_stale_days,_fundamentals_neutralized
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,1469399624370000.0,,-13.920620999999999,2.9268,,11.124752,10.855,-3.9695,0.48757750000000005,0.22563,0.42049001499999994,0.54260004,0.31673002,1.847,3.754,3.975,7.1175,0.758875,2.174,25774804793856.0,54361531088896.0,21832415576064.0,1433734440026112.0,0.14,0.028399998,3000.0,1.08,375.0,1779926400.0,2.027,2407000.0,221076.1845768374,2070000.0,2076603.1,,38.0,,,0.20716,0.45224,False,False,,0.5,4863821.0,5697985.0,1.09,,,,,,0.8542,55.8,,,False,0.571953600162036,,1.0,Asia,True,,95.27564730841581,,96.97182398353254,42.369007798745784,0.3731343283582089,34.587813620071685,77.08830548926015,50.0,,50.0,72.32972138689588,standard,1,8610225134,False,7,STARK,8,UPPTREND,False,2,0.2857142857142857,LÅG,OK,14.9,0.010922778397798538,68.0,0.625,SUSPICIOUS_FWD_PE;,2026-06-12,0,True
V,Visa Inc.,Financial Services,Credit Services,United States,USD,537032354853.3186,5.852135125,3.9982777500000006,1.4618,10.319856249999999,14.301421,14.417,5.675999999999998,0.40496249999999995,0.16078501025,0.25905003,0.29643504499999995,0.46808995000000003,0.11000000000000001,0.21999999999999997,0.315,-5.73899999999999,-0.6042500000000002,0.669,19423208704.0,13912999936.0,23975999488.0,620338937856.0,0.83,0.2197,2.68,0.7,0.67,1778544000.0,0.765,372.56717031581684,293.2820187246287,323.57000732421875,398.63916,1.33333,36.0,3.54,0.0156,0.00084,0.91694,False,False,,0.683,7502390.0,8994570.0,0.8786716938988683,1.71,2.17,-1.43,,-0.131512293340458,0.22335091665523274,47.62009152622784,0.022374160102517138,-0.016309450391939206,False,0.4518116799000119,,0.869,US,True,79.33562997440578,95.0822942532578,59.80257116620752,71.1109707444347,53.513117973878686,24.253731343283583,67.47311827956989,87.3508353221957,50.0,79.83193277310924,68.30000000000001,71.45617767835844,standard,2,2910373081,False,7,STARK,8,NEDTREND,True,4,0.5714285714285714,MEDEL,EJ AKTUELL,5.3,-0.012505747377872467,29.2,0.875,,2026-06-12,0,True
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,USD,38160847974.02069,73.210421375,-3.5664162500000005,,8.152178225000002,28.58242,27.553,52.672,0.13751999999999998,0.10425500025000002,0.240462505,0.21181999,0.17066002000000002,1.436,3.2039999999999997,3.622,-54.812,8.50625,8.507,,1443286016.0,20617000.0,36786397184.0,,0.0,,,,,3.229,245.9499969482422,66.75,206.88999938964844,256.30304,1.33333,18.0,1.73,0.0683,0.11137,0.76611,False,False,,0.605,7252263.0,8815920.0,0.53,38.8,119.15,,,-3.26,0.9283,65.0,38.11,,False,0.5440891825292328,,1.0,US,True,,85.72532789237827,70.45454545454545,96.74259200861093,34.5841292365885,69.02985074626866,11.827956989247312,,50.0,25.210084033613445,60.5,71.30459015978039,standard,3,1823925683,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,5.5,0.06053939089179039,85.6,0.875,SUSPICIOUS_FWD_PE;,2026-06-12,0,True
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,61330055208455.0,1.4018467500000016,-0.01950600000000069,1.1678,5.2421415,14.94432,14.397,1.0805000000000007,0.23795749999999996,0.11997001,0.316640015,0.40830000999999994,0.25204002,0.21699999999999997,0.372,0.583,12.282499999999999,0.629875,2.187,684909165056.0,3383596154880.0,1094369804288.0,59082257989632.0,1.01,0.2785,24.0,1.71,7.0,1781136000.0,1.25,2440.0,976.4299642131556,2365.0,2589.5757,1.33333,33.0,,,0.00022,0.43507,False,False,,0.5,35449288.0,33738465.0,0.7,,,,,,0.3281,43.2,,,True,0.7785328973620411,,0.927,Asia,True,75.68148684111058,91.81706900263356,,80.55152372776483,56.70719136551055,2.798507462686567,67.47311827956989,70.88305489260142,50.0,,50.0,70.34845885431419,standard,4,2523609053,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,7.0,0.7100117802619934,98.9,0.875,SUSPICIOUS_FWD_PE;,2026-06-12,0,True
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,1008934100764.3748,8.230858125000005,3.9344047499999997,1.5167,24.5519856,13.964679,14.492,9.015000000000002,0.8889149999999999,0.13461501024999997,0.2216725,0.29398752000000006,0.31862994999999994,0.47300000000000003,1.587,1.681,74.2915,-0.4952499999999999,0.721,7740058880.0,5281999872.0,43370000384.0,1047022075904.0,0.61,0.22129999,6.92,0.89,1.73,1778803200.0,0.517,1166.2900390625,619.3984502312096,1131.4200439453125,1215.1034,1.74194,29.0,2.44,0.0095,0.00156,0.85327005,False,False,,0.42,3102606.0,3169140.0,0.37,13.98,16.01,,,-1.33,0.3884,65.3,15.0,,True,0.8891682484574605,,1.0,US,True,58.46283437186147,93.56541178633508,59.090909090909086,94.0625450772684,44.81052625545568,20.149253731343283,67.47311827956989,62.76849642004774,50.0,91.80672268907563,42.0,68.7648988946357,standard,6,3585628518,False,7,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,OK,8.8,-0.04043368250131607,6.4,0.875,,2026-06-12,0,True
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,19414958350905.0,14.041438249999993,76.99382500000002,2.1208,18.900884575,17.20254,16.922,14.771499999999998,0.4456887515,0.25010999999999994,0.20939999999999998,0.34409998500000005,0.29059993999999995,0.27799999999999997,1.9920000000000002,2.171,1.2174999999999976,0.03875000000000006,1.722,111943507968.0,339966001152.0,20192000000.0,19098656309248.0,0.22,0.1149,60.0,0.82,30.0,1774828800.0,1.199,32400.0,7489.7444940560135,26765.0,32845.0,1.75,20.0,,,0.00279,0.65973,False,False,,0.5,9763473.0,8467830.0,1.22,,,,,,0.6852,39.1,,,False,0.45269525654200754,,1.0,Japan,True,52.866013671853906,92.84772524888425,,93.53157386424118,46.83464725245951,7.462686567164178,67.47311827956989,59.427207637231504,50.0,,50.0,68.30978518781625,standard,7,1411858986,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,1.6,0.11204355955123901,93.6,0.875,,2026-06-12,0,True
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,United States,USD,73898334911.80615,0.4273131250000013,4.8567792500000015,2.7976,3.9036014000000008,3.108098,3.133,0.33449999999999847,0.18166998499999998,0.04508500024999999,0.009407497499999966,0.018265015000000023,-0.18229002,0.134,0.259,0.356,-10.160999999999987,0.2237499999999999,0.884,631042560.0,4130980096.0,4723149824.0,74490503168.0,0.77,0.2318,1.78,1.03,0.445,1780963200.0,0.866,237.41000366210938,123.61247221578536,230.3699951171875,256.17648,1.57895,17.0,3.27,0.0271,0.021470001,0.94615,False,False,,0.155,2747369.0,4136670.0,0.46,13.67,16.57,,,0.0,0.2673,57.6,7.72,,True,0.7087531050204088,,0.946,US,True,73.2069460793313,60.948452739227285,83.1611570247934,75.73515159243843,60.31116850865729,55.223880597014926,67.47311827956989,64.43914081145584,50.0,60.50420168067227,15.5,68.2712783266509,standard,8,952964648,False,5,NEUTRAL,0,UPPTREND,False,6,0.8571428571428571,HÖG,OK,4.6,-0.038410358130931854,7.7,0.875,,2026-06-12,0,True
PUUILO.HE,Puuilo Oyj,Consumer Cyclical,Department Stores,Finland,EUR,1180848335.0716105,-3.2225727499999994,-1.9781064999999978,,7.216879487500002,2.6659873,2.968,-0.7235000000000005,0.3724812575,0.08455001000000001,0.031719997500000006,0.011181245000000013,-0.07792500000000002,0.084,0.023000000000000007,0.143,100.25075000000001,1.009625,0.667,-694110796.0,33000000.0,163400000.0,1312964992.0,4.7,0.69699997,0.66,,0.33,1791936000.0,0.608,14.529340108490848,11.00821617219834,14.039999961853027,14.36667,1.75,3.0,,,0.07625,0.48992002,False,False,,0.5,125498.0,60560.0,3.09,35.58,46.97,,,0.0,0.3308,88.0,29.3,,True,1.1342322501819124,,0.376,Nordic,True,,68.01156302438407,92.97520661157026,44.3270007463383,56.99498958035435,97.57462686567165,67.47311827956989,,50.0,,50.0,68.15741249913502,standard,9,984442,False,3,SVAG,-8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,-11.9,-0.040313754230737686,6.5,0.875,SUSPICIOUS_FWD_PE;,2026-06-12,0,True
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,United States,USD,379273171353.4241,16.973993375,10.81338375,1.7659,25.468633225000005,17.492662,17.446,22.61,0.46105999999999997,0.15287500025,0.196112485,0.20562998999999998,-0.009900049999999994,0.10399999999999998,0.19599999999999998,0.372,-20.528999999999996,0.8892499999999999,1.695,2935800576.0,4750936064.0,3734479104.0,378256719872.0,0.34,0.1909,1.04,0.99,0.26,1781654400.0,1.868,346.19000244140625,85.2354824227276,303.2799987792969,316.1875,1.52778,32.0,3.46,0.0294,0.0027599998,0.88134,False,False,,0.414,9726787.0,8873180.0,0.49,24.57,69.85,,,0.0,0.6216,69.8,30.28,,True,0.4635710905775309,,0.931,US,True,52.17669737254182,83.06878682349686,95.35123966942149,73.48733278829822,31.54554255965705,27.05223880597015,67.47311827956989,63.48448687350835,50.0,57.14285714285714,41.4,67.95184483682625,standard,10,2691058020,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,10.1,0.07048235088586807,87.9,0.875,,2026-06-12,0,True
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,974373508417.5378,0.347544375,-19.21715625,0.2977,3.087221225,16.765144,16.7,0.7829999999999999,0.19167002,0.12654500024999998,0.301582505,0.5314400099999999,0.07467994999999994,1.8290000000000002,7.348,7.708,-40.90899999999999,1.2502499999999996,2.232,1476958976.0,14588999680.0,10798000128.0,970582523904.0,0.07,0.0217,0.6,0.33,0.15,1774828800.0,2.173,1089.2900390625,103.23021586705363,864.010009765625,739.475,1.47727,40.0,0.77,0.0313,0.00262,0.81575996,False,False,,0.412,48323617.0,52037290.0,0.58,28.89,126.48,,,-7.35,0.8275,65.5,47.52,,True,0.5278013897253688,,1.0,US,True,63.40230456052441,87.74373929950653,64.72107438016528,98.11471844539253,29.990490389028263,20.33582089552239,24.551971326164875,51.78997613365155,50.0,53.57142857142857,41.199999999999996,67.26313321540717,standard,11,44960739441,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,10.0,-0.02405387908220291,13.6,0.875,SUSPICIOUS_FWD_PE;,2026-06-12,0,True
ALK-B.CO,ALK-Abelló A/S,Healthcare,Biotechnology,Denmark,DKK,53593473998.01526,21.245676249999995,17.661662999999997,9.87,4.217887687500001,8.990369,8.816,13.066000000000003,0.04596625250000001,0.05721000000000002,0.06000500500000002,0.07563376000000002,0.21914499999999998,0.082,0.12200000000000001,0.234,-38.37675,1.087625,1.916,120426720.0,1544999936.0,410000000.0,57844973568.0,0.6,0.2759,1.6,0.66,1.6,1773705600.0,0.698,271.0,171.10009130256813,266.20001220703125,297.5,1.4,4.0,,,0.0,0.64137,False,False,,0.5,217217.0,199718.0,0.74,8.07,22.4,,,0.0,0.2717,63.8,12.74,,False,0.8112162821948039,,0.675,Nordic,True,48.668560135638614,73.65579864957826,87.39669421487604,59.74993412751808,69.21477180352584,61.56716417910447,67.47311827956989,52.2673031026253,50.0,,50.0,65.84393487741507,standard,13,8233779,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,5.2,0.019557371735572815,73.1,0.875,,2026-06-12,0,True
0700.HK,Tencent Holdings Limited,Communication Services,Internet Content & Information,China,HKD,4090329364992.224,-1.1940894999999978,-0.6937750000000014,1.3498,0.43976177499999997,5.324549,5.368,3.293499999999998,0.055069999999999994,0.03326499700000001,0.14366003,0.12453001999999996,0.19780002000000002,0.03,0.1285,0.215,0.0,0.09837500000000027,1.141,95837346304.0,459714985984.0,405511012352.0,4123526692864.0,1.17,0.1712,5.3,0.67,5.3,1778803200.0,0.741,675.1340645101453,420.3999938964844,453.20001220703125,707.68384,1.32609,42.0,,,0.31638,0.2569,False,False,,0.5,29969254.0,44184022.0,0.56,,,,,,0.3473,55.8,,,True,0.5456210213967632,,0.88,Asia,True,79.29405285154266,76.55329914493491,,61.27504877437566,65.14389231987045,13.619402985074627,67.47311827956989,81.86157517899761,50.0,,50.0,65.67320450128966,standard,14,2555671755,False,6,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,-12.6,0.054448600858449936,84.5,0.875,SUSPICIOUS_FWD_PE;,2026-06-12,0,True
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,United States,USD,68199728121.01611,-21.874316375,1.9363587499999992,4.58,7.472469285000001,12.019625,14.765,-5.869,1.005809995,0.015404999750000002,0.442257505,0.04735999999999996,0.30612995,0.136,-0.07150000000000001,0.159,359.4955,-0.38175,0.195,1078149632.0,542955008.0,28989048832.0,98165899264.0,4.18,0.60150003,8.8,5.11,2.2,1780963200.0,1.346,211.22999572753906,150.01148310449148,210.30999755859375,214.4,2.19048,20.0,0.0,0.0,0.01799,0.95075,False,False,,0.328,1585788.0,1701550.0,0.35,9.23,17.0,,,0.0,0.2012,77.1,8.91,,True,1.0885792091304753,,0.0,US,True,,82.4787422261395,83.47107438016529,40.742534542704696,35.83907937272164,56.71641791044776,67.47311827956989,69.92840095465394,50.0,98.94957983193278,32.800000000000004,65.45660735084036,standard,15,357852976,False,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,3.5,-0.006202071905136108,44.1,0.875,SUSPICIOUS_FWD_PE;,2026-06-12,0,True
NXT.L,NEXT plc,Consumer Cyclical,Apparel Retail,United Kingdom,GBp,19571390405065.61,-3.4464209999999973,1.861819500000002,2.9807,6.176904469999999,2.2536647,2.544,0.06174999999999997,0.3369899699999999,0.09011999999999999,0.022757502500000006,0.0001699799999999585,-0.03206999999999999,0.081,0.134,0.232,25.72925,0.2099999999999999,1.081,359943728.0,96200000.0,1809799936.0,17558120448.0,1.97,0.32869998,2.68,2.95,1.81,1782950400.0,1.047,183390.9684544423,141642.6736520485,171450.186252594,14699.5,2.1,20.0,,,0.062280003,0.70926005,False,False,,0.5,572020.0,468447.0,0.77,14.21,13.0,,,-0.01,0.2405,82.1,9.36,,True,1.0014312349326187,,0.5,UK,True,85.19390058207972,67.4141176566956,77.68595041322314,53.92600487440129,60.134830938685184,7.276119402985075,67.47311827956989,79.23627684964201,50.0,,50.0,65.43989161419542,standard,16,80315325399,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,1.5,0.011413509957492352,68.8,0.875,SUSPICIOUS_FWD_PE;,2026-06-12,0,True
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,United States,USD,359671569137.81006,2.070751375000002,0.6441297500000003,1.5373,4.680042225000001,12.392212,12.359,13.084999999999999,0.19036003,0.07367500025,0.179862505,0.17416001000000003,-0.02013005000000001,-0.020000000000000004,0.12300000000000003,0.313,-25.411999999999992,0.8612499999999998,1.624,1623834112.0,8240999936.0,7267999744.0,358698549248.0,0.47,0.1731,2.12,0.79,0.53,1779321600.0,1.672,510.75,153.7846009301305,453.010009765625,511.16666,1.5,36.0,2.59,0.0231,0.00306,0.85157996,False,False,,0.471,6816000.0,7076420.0,0.46,29.08,64.28,,,0.0,0.5508,77.1,33.05,,True,0.5620862510870093,,0.906,US,True,51.707037872979186,78.4328010214546,95.14462809917356,59.44767638919819,33.83175480025694,27.798507462686565,67.47311827956989,56.801909307875896,50.0,65.75630252100841,47.099999999999994,65.04838921007374,standard,17,3205689093,False,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,9.1,0.0906580463051796,91.0,0.875,SUSPICIOUS_FWD_PE;,2026-06-12,0,True
BESI.AS,BE Semiconductor Industries N.V.,Technology,Semiconductor Equipment & Materials,Netherlands,EUR,21498870182.111816,109.99845774999999,23.218720500000003,2.3373,40.38501665,34.0137,33.88,82.21700000000001,0.13682750000000002,0.0394549995,0.1285537525,0.192694986,0.24243,0.14899999999999997,0.42300000000000004,0.637,78.87950000000001,3.16875,4.008,-513301968.0,611438016.0,519112992.0,21414064128.0,0.58,1.1414,1.58,2.74,1.58,1777248000.0,1.365,292.8999938964844,104.73968512608042,271.3999938964844,252.54546,2.08696,22.0,,,0.108909994,0.6346,False,False,,0.5,493505.0,392785.0,1.01,21.08,72.34,,,0.0,0.5522,67.0,25.76,,False,0.48804455187186163,,0.481,Europe,True,23.6606226849102,81.67449033943429,95.55785123966942,63.22949698298512,42.51449443903452,78.54477611940298,28.9426523297491,30.310262529832936,50.0,,50.0,65.03689577675037,standard,18,123424630,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,10.5,0.06565501540899277,86.7,0.875,,2026-06-12,0,True
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,Singapore,USD,191741874118.04004,40.169231375,4.526751749999998,0.5863,392.42677322500003,17.415247,17.535,29.351000000000003,17.67314,0.17173500025,0.10271250499999995,0.21188001,-0.09398004999999998,0.307,0.871,1.2,325.74199999999996,-0.32075,0.772,193459072.0,1146000000.0,4177999872.0,193059340288.0,0.35,0.277,2.96,3.02,0.74,1782259200.0,2.083,966.7999877929688,123.04413662735939,847.469970703125,856.7727,1.54167,22.0,2.04,0.0476,0.00241,0.88253,False,False,,0.586,3917273.0,3183970.0,0.73,16.61,135.74,,,-0.24,0.7259,64.4,31.41,,False,0.5437281013620288,,0.969,US,True,41.45314744219699,80.29285255353747,84.6590909090909,88.8028727741125,13.45707944632887,35.634328358208954,67.47311827956989,51.07398568019092,50.0,37.39495798319328,58.599999999999994,64.89022724835111,standard,19,2698318963,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,11.5,0.3028128743171692,98.1,0.875,,2026-06-12,0,True
